y_true,y_pred,residual
3838944800.0,1176104000.0,2662840800.0
25069556000.0,14121106000.0,10948449000.0
7422148600.0,14173932000.0,-6751783000.0
19213050000.0,13964049000.0,5249000400.0
261819400.0,445114370.0,-183294980.0
943988740.0,1036944400.0,-92955650.0
1129916400.0,1507638300.0,-377721860.0
1210445800.0,1133550600.0,76895230.0
2759691800.0,2845341700.0,-85649920.0
3462796800.0,2556533800.0,906263040.0
27122092000.0,23050084000.0,4072007700.0
24562061000.0,23960812000.0,601249800.0
16927506000.0,24924316000.0,-7996809000.0
4317663700.0,7538943500.0,-3221279700.0
8267602000.0,8287568400.0,-19966464.0
7578007600.0,8182319000.0,-604311550.0
5209427500.0,4598879700.0,610547700.0
3606394400.0,4071038500.0,-464644100.0
3219907600.0,3976290800.0,-756383200.0
891122700.0,631129100.0,259993600.0
946396160.0,577782800.0,368613380.0
416051200.0,605143040.0,-189091840.0
16773982000.0,13989923000.0,2784059400.0
10903508000.0,10484744000.0,418763780.0
13026008000.0,18229772000.0,-5203764000.0
0.0,125264900.0,-125264900.0
0.0,55481344.0,-55481344.0
0.0,-201537540.0,201537540.0
577492000.0,756123650.0,-178631680.0
1530216400.0,2976754200.0,-1446537700.0
6669513700.0,12050899000.0,-5381385000.0
5749600000.0,5234451500.0,515148800.0
7665388000.0,4930107000.0,2735281200.0
2523541500.0,5773915600.0,-3250374100.0
5753534500.0,6144459300.0,-390924800.0
7519350300.0,6450065400.0,1069284860.0
6588881400.0,5005179000.0,1583702500.0
9141455000.0,9628302000.0,-486847500.0
8574067000.0,9053706000.0,-479639040.0
9767936000.0,9578262000.0,189674500.0
6851014700.0,1269618700.0,5581396000.0
11502306000.0,3242525700.0,8259780600.0
11678262000.0,4845053400.0,6833209000.0
37766988000.0,36534632000.0,1232355300.0
31310640000.0,34856500000.0,-3545862100.0
42123630000.0,37976183000.0,4147445800.0
1505098800.0,1090475000.0,414623740.0
2429058000.0,2861812200.0,-432754180.0
3310088700.0,3651234800.0,-341146100.0
16702262000.0,13987813000.0,2714449000.0
14192624000.0,13076177000.0,1116446700.0
12058794000.0,11653504000.0,405290000.0
5008430000.0,5070434000.0,-62003710.0
5693066000.0,5803929000.0,-110862850.0
4973589500.0,4572382000.0,401207300.0
1688668200.0,1093601300.0,595066900.0
1917901800.0,1194588200.0,723313660.0
2779473000.0,1903324200.0,876148740.0
0.0,-49401856.0,49401856.0
0.0,-34282496.0,34282496.0
0.0,-36680704.0,36680704.0
4714972000.0,5480713700.0,-765741600.0
10525654000.0,10868063000.0,-342409200.0
16666752000.0,14247362000.0,2419390500.0
3412823600.0,3098875000.0,313948670.0
2659171300.0,3024610300.0,-365438980.0
1850375200.0,2726386200.0,-876011000.0
37328740000.0,11004257000.0,26324484000.0
52576952000.0,7761807400.0,44815147000.0
53845790000.0,22301573000.0,31544218000.0
9299735000.0,4537904600.0,4761830000.0
8164604400.0,9751692000.0,-1587087900.0
11502710000.0,13763038000.0,-2260328400.0
0.0,309397500.0,-309397500.0
0.0,463112200.0,-463112200.0
0.0,315204600.0,-315204600.0
